location_index,location,feature_completeness_percent,number_of_values,number_of_empty_fields,number_of_records,mean,median,_mode_,max,min,_range_
200,Scotland,0.00,0,1116,1116,NULL,NULL,0,NULL,NULL,NULL
201,Senegal,100.00,628824,0,628824,75.2707,17.0000,190,1722,0,1722
202,Serbia,99.00,1098330,5580,1103910,2129.6664,921.0000,66,19901,0,19901
203,Seychelles,100.00,468072,0,468072,43.0939,1.0000,585,1042,0,1042
204,"Sierra Leone",100.00,172572,0,172572,6.5668,0.0000,616,160,0,160
205,Singapore,100.00,1619340,0,1619340,1908.4704,248.0000,83,26032,0,26032
206,"Sint Maarten (Dutch part)",100.00,98023,83,98106,9.3345,0.0000,733,1006,0,1006
207,Slovakia,100.00,843234,714,843948,1579.3243,206.0000,74,20582,0,20582
208,Slovenia,100.00,1886472,0,1886472,1132.5871,537.5000,80,24258,0,24258
209,"Solomon Islands",100.00,172572,0,172572,20.7910,0.0000,1096,2903,0,2903
210,Somalia,100.00,364056,0,364056,23.1252,0.0000,860,1066,0,1066
211,"South Africa",100.00,2153604,0,2153604,3443.6836,1416.5000,206,37875,0,37875
212,"South America",100.00,2635860,11150,2647010,57703.8926,43052.5000,58,459421,0,459421
213,"South Korea",99.00,2284480,13552,2298032,26079.2034,1536.0000,32,621328,0,621328
214,"South Sudan",100.00,276588,0,276588,15.5398,3.0000,462,444,0,444
215,Spain,99.00,2096840,14240,2111080,11706.7742,5075.0000,270,176089,0,176089
216,"Sri Lanka",100.00,682641,1737,684378,570.0390,66.0000,93,9962,0,9962
217,Sudan,100.00,550812,0,550812,54.0795,10.0000,393,1284,0,1284
218,Suriname,100.00,320051,0,320051,69.8366,9.0000,471,1404,0,1404
219,Sweden,99.00,1054592,8960,1063552,2294.9805,704.0000,61,53914,0,53914
220,Switzerland,100.00,2236344,9460,2245804,3719.1667,1390.0000,116,48332,0,48332
221,Syria,100.00,484620,0,484620,48.5812,20.0000,255,442,0,442
222,Taiwan,0.00,0,1164,1164,NULL,NULL,0,NULL,NULL,NULL
223,Tajikistan,100.00,226944,0,226944,15.0474,0.0000,815,407,0,407
224,Tanzania,100.00,255312,0,255312,36.3299,0.0000,1031,20210,0,20210
225,Thailand,99.00,1627736,22336,1650072,4055.4605,307.0000,200,28379,0,28379
226,Timor,100.00,352236,0,352236,19.8164,0.0000,592,532,0,532
227,Togo,100.00,401880,0,401880,33.3697,10.0000,211,747,0,747
228,Tokelau,100.00,4728,0,4728,0.0042,0.0000,1181,5,0,5
229,Tonga,100.00,203304,860,204164,14.2250,0.0000,1082,1100,0,1100
230,"Trinidad and Tobago",99.00,976080,4980,981060,162.1896,46.5000,354,1964,0,1964
231,Tunisia,100.00,1401852,0,1401852,974.2750,76.5000,432,27340,0,27340
232,Turkey,100.00,1917204,0,1917204,14386.3596,6844.5000,350,406321,0,406321
233,Turkmenistan,100.00,2364,0,2364,0.0000,0.0000,1182,0,0,0
234,"Turks and Caicos Islands",100.00,148932,0,148932,5.5541,0.0000,751,388,0,388
235,Tuvalu,100.00,23640,0,23640,2.3511,0.0000,1172,998,0,998
236,Uganda,100.00,393273,333,393606,144.4378,25.0000,315,20692,0,20692
237,Ukraine,100.00,1858104,0,1858104,4607.4272,1107.5000,360,44137,0,44137
238,"United Arab Emirates",100.00,956169,2433,958602,896.0857,525.0000,72,3977,0,3977
239,"United Kingdom",100.00,1291169,5485,1296654,20634.1640,7021.0000,41,275646,0,275646
240,"United States",100.00,2327728,7904,2335632,87179.5976,50806.0000,168,1265520,0,1265520
241,"United States Virgin Islands",100.00,148554,378,148932,21.0941,5.0000,475,673,0,673
242,"Upper middle income",100.00,2754060,11650,2765710,205543.5465,119586.5000,9,7038789,0,7038789
243,Uruguay,99.00,1276952,9756,1286708,879.6163,40.5000,377,13612,0,13612
244,Uzbekistan,100.00,1132356,0,1132356,213.0618,93.5000,85,1478,0,1478
245,Vanuatu,100.00,205668,0,205668,10.1641,0.0000,1044,785,0,785
246,Vatican,100.00,11820,0,11820,0.0220,0.0000,1171,7,0,7
247,Venezuela,100.00,1557876,0,1557876,467.2563,303.5000,129,2646,0,2646
248,Vietnam,100.00,1460952,0,1460952,9752.2927,76.0000,179,454212,0,454212
249,Wales,0.00,0,1094,1094,NULL,NULL,0,NULL,NULL,NULL
250,"Wallis and Futuna",100.00,59100,0,59100,2.8993,0.0000,1126,2654,0,2654
251,"Western Sahara",0.00,0,1,1,NULL,NULL,0,NULL,NULL,NULL
252,World,100.00,2770608,11720,2782328,644176.6100,482994.0000,7,7946354,0,7946354
253,Yemen,100.00,212760,0,212760,10.1058,1.0000,570,287,0,287
254,Zambia,100.00,1033068,0,1033068,290.5372,43.0000,380,5555,0,5555
255,Zimbabwe,100.00,903048,0,903048,223.7826,36.5000,227,6181,0,6181
